# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Jan 31 08:06:14 2017
#
# COLUMN pl_hostname:    Host Name
# COLUMN pl_letter:      Planet Letter
# COLUMN pl_discmethod:  Discovery Method
# COLUMN pl_pnum:        Number of Planets in System
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [AU]
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN pl_radj:        Planet Radius [Jupiter radii]
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN ra_str:         RA [sexagesimal]
# COLUMN ra:             RA [sexagesimal]
# COLUMN dec_str:        Dec [sexagesimal]
# COLUMN dec:            Dec [sexagesimal]
# COLUMN st_dist:        Distance [pc]
# COLUMN st_optmag:      Optical Magnitude [mag]
# COLUMN st_teff:        Effective Temperature [K]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_rad:         Stellar Radius [Solar radii]
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_masse:       Planet Mass [Earth mass]
# COLUMN pl_rade:        Planet Radius [Earth radii]
# COLUMN st_sp:          Spectral Type
# COLUMN st_spstr:       Spectral Type
#
rowid,pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_radj,pl_dens,ra_str,ra,dec_str,dec,st_dist,st_optmag,st_teff,st_mass,st_rad,pl_eqt,pl_masse,pl_rade,st_sp,st_spstr
11,2MASS J02192210-3925225,b,Imaging,1,,156.000000,,,1.440,,02h19m22.11s,34.842106,-39d25m22.5s,-39.422928,39.40,,3064.00,0.11,0.28,,4417.83700,16.141,6.60,M6
12,2MASS J04414489+2301513,b,Imaging,1,,15.000000,,,,,04h41m44.90s,70.437073,+23d01m51.4s,23.030941,140.00,,,0.02,,,2383.60000,,6.85,M8.5
13,2MASS J12073346-3932539,b,Imaging,1,,46.000000,,,,,12h07m33.47s,181.889447,-39d32m54.0s,-39.548332,52.40,20.150,,0.02,,1150,1271.00000,,6.80,M8
14,2MASS J19383260+4603591,b,Eclipse Timing Variations,1,416.00000000,0.920000,,,,,19h38m32.61s,294.635865,+46d03m59.1s,46.066418,,12.264,,0.48,,,603.87700,,,
15,2MASS J21402931+1625183 A,b,Imaging,1,7336.50000000,,0.260000,46.200,0.920,,21h40m29.32s,325.122159,+16d25m18.3s,16.421759,25.00,,2300.00,0.08,0.12,2075,6657.48000,10.310,6.85,M8.5
16,2MASS J22362452+4751425,b,Imaging,1,,230.000000,,,,,22h36m24.53s,339.102203,+47d51m42.6s,47.861820,74.00,12.510,4045.00,0.60,,,3972.87500,,5.70,K7 V
17,30 Ari B,b,Radial Velocity,1,335.10000000,0.995000,0.289000,,,,02h36m57.74s,39.240585,+24d38m53.0s,24.648064,39.43,,6300.00,1.16,1.13,,,,3.60,F6 V
18,4 UMa,b,Radial Velocity,1,269.30000000,0.870000,0.432000,,,,08h40m12.82s,130.053406,+64d19m40.6s,64.327934,77.40,4.610,4415.00,1.23,18.11,,,,5.10,K1 III
19,42 Dra,b,Radial Velocity,1,479.10000000,1.190000,0.380000,,,,18h25m59.14s,276.496399,+65d33m48.5s,65.563484,97.28,4.820,4200.00,0.98,22.03,,,,5.15,K1.5 III
20,47 UMa,b,Radial Velocity,3,1078.00000000,2.100000,0.032000,,,,10h59m27.97s,164.866562,+40d25m48.9s,40.430256,14.08,5.050,5892.00,1.03,1.23,,,,4.00,G0 V
21,47 UMa,c,Radial Velocity,3,2391.00000000,3.600000,0.098000,,,,10h59m27.97s,164.866562,+40d25m48.9s,40.430256,14.08,5.050,5892.00,1.03,1.23,,,,4.00,G0 V
22,47 UMa,d,Radial Velocity,3,14002.00000000,11.600000,0.160000,,,,10h59m27.97s,164.866562,+40d25m48.9s,40.430256,14.08,5.050,5892.00,1.03,1.23,,,,4.00,G0 V
23,51 Eri,b,Imaging,1,,13.200000,,,,,04h37m36.13s,69.400551,-02d28m24.8s,-2.473548,29.40,5.230,,1.75,,700,635.66000,,3.00,F0 IV
24,51 Peg,b,Radial Velocity,1,4.23078500,0.052700,0.013000,,,,22h57m27.98s,344.366577,+20d46m07.8s,20.768833,15.36,5.500,5793.00,1.12,1.20,,,,4.25,G2.5 IV
25,55 Cnc,b,Radial Velocity,5,14.65152000,0.115227,0.003400,90.000,,,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.53,5.960,5196.00,0.91,0.94,,263.97850,,4.80,G8 V
26,55 Cnc,c,Radial Velocity,5,44.41750000,0.241376,0.020000,90.000,,,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.53,5.960,5196.00,0.91,0.94,,54.47380,,4.80,G8 V
27,55 Cnc,d,Radial Velocity,5,4825.00000000,5.503000,0.019000,90.000,,,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.53,5.960,5196.00,0.91,0.94,,1232.49300,,4.80,G8 V
28,55 Cnc,e,Radial Velocity,5,0.73653900,0.015440,,83.300,0.170,6.40000,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.53,5.960,5196.00,0.91,0.94,,8.08000,1.910,4.80,G8 V
29,55 Cnc,f,Radial Velocity,5,262.00000000,0.788000,0.305000,90.000,,,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.53,5.960,5196.00,0.91,0.94,,44.81200,,4.80,G8 V
30,6 Lyn,b,Radial Velocity,1,874.77400000,2.180000,0.125000,,,,06h30m47.11s,97.696281,+58d09m45.5s,58.162632,56.95,,4978.00,1.70,5.20,,,,5.00,K0 III-IV
31,61 Vir,b,Radial Velocity,3,4.21500000,0.050201,0.120000,,,,13h18m24.32s,199.601318,-18d18m40.3s,-18.311195,8.52,4.740,5577.00,0.94,0.96,,,,4.50,G5 V
32,61 Vir,c,Radial Velocity,3,38.02100000,0.217500,0.140000,,,,13h18m24.32s,199.601318,-18d18m40.3s,-18.311195,8.52,4.740,5577.00,0.94,0.96,,,,4.50,G5 V
33,61 Vir,d,Radial Velocity,3,123.01000000,0.476000,0.350000,,,,13h18m24.32s,199.601318,-18d18m40.3s,-18.311195,8.52,4.740,5577.00,0.94,0.96,,,,4.50,G5 V
34,7 CMa,b,Radial Velocity,1,796.00000000,1.930000,0.220000,,,,06h36m41.04s,99.170990,-19d15m21.2s,-19.255878,19.84,3.920,4792.00,1.52,2.30,,,,5.10,K1 III
35,70 Vir,b,Radial Velocity,1,116.69260000,0.481000,0.399000,,,,13h28m25.81s,202.107544,+13d46m43.6s,13.778788,18.11,4.980,5439.00,1.09,1.94,,,,4.40,G4 V
36,75 Cet,b,Radial Velocity,1,691.90000000,2.100000,0.117000,,,,02h32m09.42s,38.039253,-01d02m05.6s,-1.034896,81.50,5.350,4846.00,2.49,10.50,,,,4.30,G3 III
37,8 UMi,b,Radial Velocity,1,93.40000000,0.490000,0.060000,,,,14h56m48.35s,224.201477,+74d54m03.3s,74.900925,159.10,6.830,4847.40,1.80,9.90,,,,5.00,K0
38,81 Cet,b,Radial Velocity,1,952.70000000,2.500000,0.206000,,,,02h37m41.80s,39.424168,-03d23m46.2s,-3.396175,97.18,5.650,4785.00,2.40,11.00,,,,4.50,G5 III
39,91 Aqr,b,Radial Velocity,1,181.40000000,0.700000,0.027000,,,,23h15m53.50s,348.972900,-09d05m15.9s,-9.087737,45.52,4.250,4665.00,1.40,11.00,,,,5.00,K0 III
40,AB Pic,b,Imaging,1,,260.000000,,,,,06h19m12.91s,94.803802,-58d03m15.5s,-58.054310,45.52,9.128,,,,,4290.50000,,5.20,K2 V
41,BD+14 4559,b,Radial Velocity,1,268.94000000,0.777000,0.290000,,,,21h13m35.99s,318.399963,+14d41m21.8s,14.689387,50.03,9.630,5008.00,0.86,0.95,,,,5.20,K2 V
42,BD+15 2375,b,Radial Velocity,1,153.22000000,0.576000,0.001000,,,,11h45m55.72s,176.482174,+14d36m59.0s,14.616381,774.00,10.310,4649.00,1.08,8.95,,,,,
43,BD+15 2940,b,Radial Velocity,1,137.48000000,0.539000,0.260000,,,,16h00m22.94s,240.095566,+15d32m48.9s,15.546930,175.44,9.046,4796.00,1.10,14.70,,,,5.00,K0
44,BD+20 1790,b,Radial Velocity,1,7.78287000,0.066000,0.220000,,,,07h23m43.59s,110.931612,+20d24m58.8s,20.416334,25.40,,4410.00,0.63,0.71,,,,5.50,K5 V
45,BD+20 2457,b,Radial Velocity,2,379.63000000,1.450000,0.150000,,,,10h16m44.86s,154.186910,+19d53m29.1s,19.891409,,9.750,4137.00,2.80,49.00,,,,5.20,K2 II
46,BD+20 2457,c,Radial Velocity,2,621.99000000,2.010000,0.180000,,,,10h16m44.86s,154.186910,+19d53m29.1s,19.891409,,9.750,4137.00,2.80,49.00,,,,5.20,K2 II
47,BD+20 274,b,Radial Velocity,1,578.20000000,1.300000,0.210000,,,,01h43m40.88s,25.920324,+21d00m19.1s,21.005314,,9.360,4296.00,0.80,17.30,,,,5.50,K5 III
48,BD+20 594,b,Transit,1,41.68550000,0.241000,0.000000,89.550,0.199,7.89000,03h34m36.23s,53.650966,+20d35m57.2s,20.599232,152.10,11.038,5766.00,0.96,0.93,546,16.30000,2.230,4.00,G
49,BD+48 738,b,Radial Velocity,1,392.60000000,1.000000,0.200000,,,,02h42m50.45s,40.710224,+49d35m13.1s,49.586960,,9.140,4414.00,0.74,11.00,,,,5.00,K0 III
50,BD+49 828,b,Radial Velocity,1,2590.00000000,4.200000,0.350000,,,,03h02m33.73s,45.640529,+49d43m48.0s,49.730011,,9.380,4943.00,1.52,7.60,,,,5.00,K0
51,BD-06 1339,b,Radial Velocity,2,3.87280000,0.042800,0.000000,,,,05h53m00.28s,88.251183,-05d59m41.4s,-5.994844,20.10,9.700,4324.00,0.70,,,,,5.85,K7/M0 V
52,BD-06 1339,c,Radial Velocity,2,125.94000000,0.435000,0.310000,,,,05h53m00.28s,88.251183,-05d59m41.4s,-5.994844,20.10,9.700,4324.00,0.70,,,,,5.85,K7/M0 V
53,BD-08 2823,b,Radial Velocity,2,5.60000000,0.056000,0.150000,,,,10h00m47.72s,150.198837,-09d31m00.0s,-9.516680,42.09,9.880,4746.00,0.74,,,,,5.30,K3 V
54,BD-08 2823,c,Radial Velocity,2,237.60000000,0.680000,0.190000,,,,10h00m47.72s,150.198837,-09d31m00.0s,-9.516680,42.09,9.880,4746.00,0.74,,,,,5.30,K3 V
55,BD-10 3166,b,Radial Velocity,1,3.48777000,0.045200,0.019000,,,,10h58m28.80s,164.620003,-10d46m13.4s,-10.770376,80.00,10.080,5393.00,1.01,,,,,5.00,K0 V
56,BD-11 4672,b,Radial Velocity,1,1667.00000000,2.280000,0.050000,,,,18h33m28.84s,278.370148,-11d38m09.7s,-11.636039,27.30,9.990,4475.00,0.57,0.52,,,,5.70,K7 V
57,BD-13 2130,b,Radial Velocity,1,714.30000000,2.100000,0.210000,,,,07h37m09.23s,114.288458,-13d54m23.9s,-13.906639,766.00,9.450,,2.40,,,,,4.50,G5 IV/V
58,BD-17 63,b,Radial Velocity,1,655.60000000,1.340000,0.540000,,,,00h28m34.31s,7.142942,-16d13m34.8s,-16.226345,37.54,9.566,4714.00,0.74,0.69,,,,5.50,K5 V
59,CFBDSIR J145829+101343,b,Imaging,1,10037.50000000,2.600000,,,,,14h58m29.00s,224.620833,+10d13m43.0s,10.228611,23.10,,580.50,0.02,,370,3337.10000,,,
60,CHXR 73,b,Imaging,1,,210.000000,,,,,11h06m28.77s,166.619893,-77d37m33.2s,-77.625877,,,,0.35,,,3994.48600,,6.35,M3.5
61,CT Cha,b,Imaging,1,,440.000000,,,2.200,,11h04m09.09s,166.037877,-76d27m19.4s,-76.455383,165.00,,,,,2600,5403.00000,24.660,,
62,CoRoT-1,b,Transit,1,1.50895570,,0.000000,85.100,1.490,0.38000,06h48m19.17s,102.079885,-03d06m07.7s,-3.102147,,13.600,5950.00,0.95,1.11,1898,327.35000,16.700,4.00,G0 V
63,CoRoT-10,b,Transit,1,13.24060000,0.105500,0.530000,88.550,0.970,3.70000,19h24m15.29s,291.063708,+00d44m46.1s,0.746143,345.00,15.220,5075.00,0.89,0.79,600,874.00000,10.870,5.10,K1 V
64,CoRoT-11,b,Transit,1,2.99433000,0.043600,0.000000,83.170,1.430,0.99000,18h42m44.94s,280.687263,+05d56m15.7s,5.937688,560.00,,6440.00,1.27,1.37,1657,740.51000,16.030,3.60,F6 V
65,CoRoT-12,b,Transit,1,2.82804200,0.040160,0.070000,85.480,1.440,0.41100,06h43m03.76s,100.765677,-01d17m47.2s,-1.296439,1150.00,15.515,5675.00,1.08,1.12,1442,291.43800,16.140,,
66,CoRoT-13,b,Transit,1,4.03519000,0.051000,0.000000,88.020,0.885,2.34000,06h50m53.07s,102.721137,-05d05m11.2s,-5.086445,1060.00,15.039,5945.00,1.09,1.01,1700,415.70400,9.920,4.00,G0 V
67,CoRoT-14,b,Transit,1,1.51214000,0.027000,0.000000,79.600,1.090,7.30000,06h53m41.81s,103.424211,-05d32m09.7s,-5.536037,1340.00,16.033,6035.00,1.13,1.21,1952,2415.40000,12.220,3.90,F9 V
68,CoRoT-16,b,Transit,1,5.35227000,0.061800,0.330000,85.010,1.170,0.44000,18h34m05.93s,278.524691,-06d00m09.3s,-6.002595,840.00,15.630,5650.00,1.10,1.19,,170.03200,13.110,4.50,G5 V
69,CoRoT-17,b,Transit,1,3.76810000,0.046100,0.000000,88.340,1.020,2.82000,18h34m47.82s,278.699254,-06d36m44.0s,-6.612234,920.00,15.460,5740.00,1.04,1.59,1626,772.29000,11.430,4.20,G2 V
70,CoRoT-18,b,Transit,1,1.90006930,0.029500,0.080000,86.500,1.310,2.20000,06h32m41.38s,98.172410,-00d01m53.7s,-0.031586,870.00,15.000,5440.00,0.95,1.00,1550,1102.82000,14.680,4.90,G9 V
71,CoRoT-19,b,Transit,1,3.89713000,0.051800,0.047000,88.000,1.290,0.71000,06h28m08.06s,97.033582,-00d10m14.5s,-0.170681,770.00,14.007,6090.00,1.21,1.65,2000,352.78000,14.460,3.90,F9 V
72,CoRoT-2,b,Transit,1,1.74299350,0.027980,0.014300,88.080,1.466,1.47000,19h27m06.49s,291.777056,+01d23m01.4s,1.383714,200.00,12.570,5625.00,0.96,0.91,,1102.82000,16.432,,
73,CoRoT-20,b,Transit,1,9.24285000,0.090200,0.562000,88.210,0.840,8.87000,06h30m52.90s,97.720408,+00d13m36.9s,0.226919,1230.00,14.660,5880.00,1.14,1.02,1002,1347.54000,9.420,4.20,G2 V
74,CoRoT-22,b,Transit,1,9.75598000,0.092000,0.077000,89.749,0.435,0.24900,18h42m40.11s,280.667115,+06d13m08.9s,6.219136,592.00,13.944,5939.00,1.10,1.14,885,12.20000,4.880,4.30,G3 V
75,CoRoT-23,b,Transit,1,3.63130000,0.048000,0.160000,85.700,1.050,3.00000,18h39m07.83s,279.782615,+04d21m28.1s,4.357806,600.00,15.630,5900.00,1.14,1.61,1660,889.90000,11.770,4.00,G0 V
76,CoRoT-24,b,Transit,2,5.11340000,0.056000,0.000000,86.500,0.330,0.90000,06h47m41.41s,101.922547,-03d43m09.5s,-3.719301,600.00,,4950.00,0.91,0.86,1070,5.70000,3.700,5.10,K1 V
77,CoRoT-24,c,Transit,2,11.75900000,0.098000,0.000000,89.000,0.440,1.30000,06h47m41.41s,101.922547,-03d43m09.5s,-3.719301,600.00,,4950.00,0.91,0.86,850,28.00000,5.000,5.10,K1 V
78,CoRoT-25,b,Transit,1,4.86069000,0.057800,0.000000,84.500,1.080,0.15000,18h42m31.12s,280.629662,+06d30m49.8s,6.513829,1000.00,,6040.00,1.09,1.19,1330,85.81000,12.110,3.90,F9
79,CoRoT-26,b,Transit,1,4.20474000,0.052600,0.000000,86.800,1.260,0.28000,18h39m00.12s,279.750514,+06d58m11.2s,6.969787,1670.00,,5590.00,1.09,1.79,1600,165.26000,14.120,4.50,G5
80,CoRoT-27,b,Transit,1,3.57532000,0.047600,0.065000,86.700,1.007,12.60000,18h33m59.00s,278.495813,+05d32m18.5s,5.538462,,15.540,5900.00,1.05,1.08,1500,3302.11000,11.287,4.20,G2
81,CoRoT-28,b,Transit,1,5.20851000,0.060300,0.047000,88.100,0.955,0.69000,18h34m45.20s,278.688338,+05d34m25.4s,5.573730,560.00,,5150.00,1.01,1.78,,153.82972,10.705,4.85,G8/9 IV
82,CoRoT-29,b,Transit,1,2.85057000,0.038600,0.082000,87.300,0.900,1.45000,18h35m36.50s,278.902103,+06d28m46.7s,6.479651,765.00,,5260.00,0.97,0.90,,270.15550,10.088,5.00,K0 V
83,CoRoT-3,b,Transit,1,4.25680000,,0.000000,85.900,1.010,26.40000,19h28m13.26s,292.055263,+00d07m18.6s,0.121820,680.00,,6740.00,1.37,1.56,,6883.91000,11.320,3.30,F3 V
84,CoRoT-4,b,Transit,1,9.20205000,0.090000,0.000000,90.000,1.190,0.52500,06h48m46.72s,102.194663,-00d40m22.0s,-0.672774,,,6190.00,1.16,1.17,1074,228.83000,13.340,,
85,CoRoT-5,b,Transit,1,4.03789620,0.049470,0.090000,85.830,1.388,0.21700,06h45m06.54s,101.277254,+00d48m54.9s,0.815239,,,6100.00,1.00,1.19,1438,148.42000,15.558,3.90,F9 V
86,CoRoT-6,b,Transit,1,8.88659300,0.085500,0.100000,89.070,1.166,2.32000,18h44m17.41s,281.072525,+06d39m47.5s,6.663194,,13.912,6090.00,1.05,1.02,1017,940.74000,13.068,3.90,F9 V
87,CoRoT-7,b,Transit,2,0.85359159,0.017016,0.000000,80.780,0.141,7.50000,06h43m49.47s,100.956125,-01d03m46.9s,-1.063033,153.70,11.668,5259.00,0.91,0.82,1756,5.74000,1.585,4.90,G9 V
88,CoRoT-7,c,Radial Velocity,2,3.69800000,0.046000,0.000000,80.000,,,06h43m49.47s,100.956125,-01d03m46.9s,-1.063033,153.70,11.668,5259.00,0.91,0.82,,8.40000,,4.90,G9 V
89,CoRoT-8,b,Transit,1,6.21229000,0.063000,0.000000,88.400,0.570,1.60000,19h26m21.24s,291.588518,+01d25m35.2s,1.426452,380.00,14.800,5080.00,0.88,0.77,,69.92000,6.390,5.10,K1 V
90,CoRoT-9,b,Transit,1,95.27380000,0.407000,0.110000,89.990,1.050,0.90000,18h43m08.81s,280.786712,+06d12m15.0s,6.204172,460.00,13.690,5625.00,0.99,0.94,,266.97000,11.770,4.30,G3 V
91,DENIS-P J082303.1-491201,b,Astrometry,1,246.36000000,0.360000,0.345000,56.600,,,08h23m03.13s,125.763050,-49d12m01.3s,-49.200359,20.77,,,0.07,,,9057.77000,,7.15,L1.5
92,DH Tau,b,Imaging,1,,330.000000,,,,,04h29m41.56s,67.423158,+26d32m58.3s,26.549520,140.00,,,0.33,0.27,,3496.00000,,6.05,M0.5
93,DP Leo,b,Eclipse Timing Variations,1,10220.00000000,8.190000,0.390000,,,,11h17m16.00s,169.316667,+17d57m41.1s,17.961417,,,,0.69,,,,,,
94,EPIC 211351816,b,Transit,1,8.40610000,,,,1.310,0.02000,08h31m03.08s,127.762836,+10d50m51.3s,10.847586,763.00,12.611,4790.00,1.16,4.20,,349.61300,14.684,,
95,EPIC 211391664,b,Transit,1,10.13675000,0.094300,0.000000,89.000,0.384,2.15000,08h25m57.19s,126.488289,+11d30m40.1s,11.511145,435.00,12.166,6120.00,1.07,1.31,1102,32.20000,4.300,3.80,F8 V
96,EPIC 211822797,b,Transit,1,21.16961900,,0.180000,89.500,0.196,,08h41m38.49s,130.410365,+17d38m24.0s,17.640005,181.50,15.256,3880.00,0.61,0.59,,,2.200,,
97,EPIC 211913977,b,Transit,1,14.67728600,,0.100000,89.400,0.178,,08h41m22.58s,130.344085,+18d56m02.0s,18.933875,181.50,12.957,4819.00,0.80,0.73,,,2.000,,
98,EPIC 211969807,b,Transit,1,1.97419000,,0.180000,88.000,0.170,,08h38m32.82s,129.636756,+19d46m25.8s,19.773829,181.50,15.149,3660.00,0.51,0.48,,,1.900,,
99,EPIC 211970147,b,Transit,1,9.91561500,,0.100000,89.000,0.116,,08h40m13.45s,130.056046,+19d46m43.7s,19.778810,181.50,13.200,4695.00,0.77,0.71,,,1.300,,
100,EPIC 211990866,b,Transit,1,1.67391600,,0.240000,85.100,0.312,,08h38m24.30s,129.601250,+20d06m21.8s,20.106063,181.50,10.651,6120.00,1.18,1.19,,,3.500,,
101,EPIC 220674823,b,Transit,2,0.57130800,,0.000000,80.200,0.130,,00h52m19.15s,13.079780,+10d47m40.9s,10.794699,253.00,12.102,5590.00,0.93,0.83,,,1.460,4.50,G5
102,EPIC 220674823,c,Transit,2,13.34124500,,0.000000,87.200,0.226,,00h52m19.15s,13.079780,+10d47m40.9s,10.794699,253.00,12.102,5590.00,0.93,0.83,,,2.530,4.50,G5
103,FU Tau,b,Imaging,1,,800.000000,,,,,04h23m35.74s,65.898908,+25d02m59.6s,25.049898,140.00,,2838.00,0.05,,2375,5085.28000,,6.72,M7.25
104,Fomalhaut,b,Imaging,1,555530.00000000,160.000000,0.870000,55.000,,,22h57m39.05s,344.412689,-29d37m20.1s,-29.622236,7.69,1.160,,2.00,,,,,2.30,A3 V
105,GJ 1132,b,Transit,1,1.62893000,,0.000000,,0.103,6.00000,10h14m51.78s,153.715737,-47d09m24.2s,-47.156727,12.04,13.490,3270.00,0.18,0.21,409,1.62000,1.160,6.45,M4.5 V
106,GJ 1214,b,Transit,1,1.58040456,0.014110,,88.170,0.254,1.49000,17h15m18.92s,258.828837,+04d57m50.1s,4.963920,,15.100,3170.00,0.16,0.18,,6.26125,2.847,6.45,M4.5
107,GJ 15 A,b,Radial Velocity,1,11.44330000,0.071700,0.000000,,,,00h18m22.89s,4.595356,+44d01m22.6s,44.022953,3.57,8.080,3567.00,0.38,0.39,,,,6.20,M2 V
108,GJ 163,b,Radial Velocity,3,8.63182000,0.060700,0.073000,,,,04h09m15.67s,62.315273,-53d22m25.3s,-53.373699,14.97,11.810,3500.00,0.40,,,,,6.35,M3.5 V
109,GJ 163,c,Radial Velocity,3,25.63058000,0.125400,0.099000,,,,04h09m15.67s,62.315273,-53d22m25.3s,-53.373699,14.97,11.810,3500.00,0.40,,,,,6.35,M3.5 V
110,GJ 163,d,Radial Velocity,3,603.95116000,1.030400,0.373000,,,,04h09m15.67s,62.315273,-53d22m25.3s,-53.373699,14.97,11.810,3500.00,0.40,,,,,6.35,M3.5 V
111,GJ 179,b,Radial Velocity,1,2288.00000000,2.410000,0.210000,,,,04h52m05.73s,73.023865,+06d28m35.5s,6.476539,12.12,12.000,3370.00,0.36,0.38,,,,6.35,M3.5 V
112,GJ 3021,b,Radial Velocity,1,133.71000000,0.490000,0.511000,,,,00h16m12.68s,4.052823,-79d51m04.3s,-79.851181,17.62,6.590,5540.00,0.90,0.90,350,,,4.60,G6 V
113,GJ 317,b,Radial Velocity,1,692.00000000,1.150000,0.110000,45.000,,,08h40m59.22s,130.246730,-23d27m22.6s,-23.456289,15.10,11.970,3510.00,0.42,,,794.50000,,6.25,M2.5 V
114,GJ 328,b,Radial Velocity,1,4100.00000000,4.500000,0.370000,,,,08h55m07.62s,133.781754,+01d32m47.4s,1.546508,20.03,9.970,3900.00,0.69,,,,,6.10,M1
115,GJ 3293,b,Radial Velocity,2,30.60000000,0.143400,0.070000,,,,04h28m35.72s,67.148820,-25d10m09.5s,-25.169301,,11.962,3466.00,0.42,0.40,,,,6.25,M2.5
116,GJ 3293,c,Radial Velocity,2,123.75000000,0.364000,0.330000,,,,04h28m35.72s,67.148820,-25d10m09.5s,-25.169301,,11.962,3466.00,0.42,0.40,,,,6.25,M2.5
117,GJ 3341,b,Radial Velocity,1,14.20700000,0.089000,0.310000,,,,05h15m46.72s,78.944663,-31d17m45.4s,-31.295951,,12.080,3526.00,0.47,0.44,,,,6.25,M2.5
118,GJ 3470,b,Radial Velocity,1,3.33664870,0.031000,0.017000,88.880,0.346,1.18000,07h59m05.84s,119.774349,+15d23m29.4s,15.391492,25.20,12.330,3652.00,0.51,0.48,604,13.73000,3.880,6.15,M1.5
